category,feature_type,name,area_km2,countries,country_count,continents,center_lat,center_lon,wikidata_id,area_source
Island,Island,Vesterålen,3103.1,Norway,1,Europe,68.8074,15.094,Q935795,Calculated from Natural Earth outlines
Island,Island,Long I.,3099.0,United States,1,North America,40.854,-73.0704,Q18438,Calculated from Natural Earth outlines
Island,Island group,San Cristobal,3049.3,Solomon Islands,1,Oceania,-10.5151,161.8537,Q714573,Calculated from Natural Earth outlines
Island,Island,Mansel I.,3049.2,Canada,1,North America,62.0184,-79.8276,Q1322393,Calculated from Natural Earth outlines
Island,Island group,Sulu Archipelago,3031.3,Philippines,1,Asia,5.6794,120.6733,Q1061195,Calculated from Natural Earth outlines
Island,Island group,Samoa Is.,2958.9,"American Samoa, Samoa",2,Oceania,-13.9675,-170.5931,Q162126,Calculated from Natural Earth outlines
Island,Island group,D’Entrecasteaux Islands,2892.0,Papua New Guinea,1,Oceania,-9.7596,150.9055,Q855297,Calculated from Natural Earth outlines
Island,Island group,Outer Hebrides,2884.9,United Kingdom,1,Europe,57.724,-7.1295,Q80967,Calculated from Natural Earth outlines
Island,Island group,Iturup,2862.0,Russia,1,Europe,44.9658,147.5407,Q215727,Calculated from Natural Earth outlines
Island,Island,Taliabu,2815.7,Indonesia,1,Asia,-1.8347,124.8274,Q27868248,Calculated from Natural Earth outlines
Island,Island,Gotland,2794.3,Sweden,1,Europe,57.421,18.5107,Q1027830,Calculated from Natural Earth outlines
Island,Island group,Belcher Islands,2784.7,Canada,1,North America,56.3658,-79.3503,Q545780,Calculated from Natural Earth outlines
Island,Island group,Micronesia,2784.4,"Micronesia, Guam, Kiribati, Marshall Islands, Northern Mariana Islands, Nauru, Palau",7,Oceania,8.1569,153.6915,Q3359409,Calculated from Natural Earth outlines
Island,Island,Choiseul,2713.3,Solomon Islands,1,Oceania,-7.0047,156.9424,Q867864,Calculated from Natural Earth outlines
Island,Island,Akimiski I.,2681.3,Canada,1,North America,52.9927,-81.4082,Q418485,Calculated from Natural Earth outlines
Island,Island,Saaremaa,2663.7,Estonia,1,Europe,58.2863,22.3435,Q951302,Calculated from Natural Earth outlines
Island,Island,Zemlya Georga I.,2609.8,Russia,1,Europe,80.5032,48.2257,Q540373,Calculated from Natural Earth outlines
Island,Island group,Açores,2607.9,Portugal,1,Europe,38.2865,-27.1215,Q25263,Calculated from Natural Earth outlines
Island,Island group,Myeik Arch.,2586.2,"Myanmar, Thailand",2,Asia,11.2943,98.3512,,Calculated from Natural Earth outlines
Island,Island group,Riau Arch.,2578.1,Indonesia,1,Asia,0.9507,104.0595,,Calculated from Natural Earth outlines
Island,Island,Reunion,2498.9,France,1,Europe,-21.1149,55.5391,Q17070,Calculated from Natural Earth outlines
Island,Island,Biak,2463.1,Indonesia,1,Asia,-0.9327,135.9497,Q855314,Calculated from Natural Earth outlines
Island,Island,Wetar,2447.7,Indonesia,1,Asia,-7.7781,126.251,Q615657,Calculated from Natural Earth outlines
Island,Island group,Cyclades,2437.0,Greece,1,Europe,37.0222,25.0408,Q171132,Calculated from Natural Earth outlines
Island,Island group,Shantar Islands,2381.9,Russia,1,Europe,54.8141,137.5342,Q338279,Calculated from Natural Earth outlines
Island,Island group,Ionian Is.,2195.6,Greece,1,Europe,38.6916,20.5246,Q170295,Calculated from Natural Earth outlines
Island,Island,Morotai,2187.9,Indonesia,1,Asia,2.316,128.4408,Q19146,Calculated from Natural Earth outlines
Island,Island,Groote Eylandt,2134.2,Australia,1,Oceania,-13.986,136.5874,Q21891506,Calculated from Natural Earth outlines
Island,Island group,Malakula,2093.0,Vanuatu,1,Oceania,-16.2334,167.4966,Q618594,Calculated from Natural Earth outlines
Island,Island group,Paramushir,2073.4,Russia,1,Europe,50.3893,155.8268,Q818749,Calculated from Natural Earth outlines
Island,Island group,Archipel Des Comores,2067.1,"Comoros, France",2,"Africa, Europe",-12.4827,44.266,Q244978,Calculated from Natural Earth outlines
Island,Island group,Îles Loyauté,2016.3,New Caledonia,1,Oceania,-21.0652,167.3598,Q913470,Calculated from Natural Earth outlines
Island,Island,Ayon I.,1984.1,Russia,1,Europe,69.795,168.6685,Q1166036,Calculated from Natural Earth outlines
Island,Island,Alor,1975.6,Indonesia,1,Asia,-8.2817,124.7891,Q1130641,Calculated from Natural Earth outlines
Island,Island,Tenerife,1898.2,Spain,1,Europe,28.2872,-16.6157,Q40846,Calculated from Natural Earth outlines
